SampleId,RunId,Barcode,CreatedDate,OverallResult,Assay.Name,Assay.Version,Assay.Classification,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOD2_R1,22,INSC20157,12/11/2021 4:28,Negative,,,Ruo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,RunId,LysisType,LysisReadings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOD2_R1,22,Time,2400,4403,6398,8402,10400,12401,14401,16400,18400,20403,22405,24401,26404,28399,30402,32399,34401,36400,38400,40400,42402,44405,46402,48404,50400,52402,54400,56401,58401,60403,62399,64401,66399,68400,70400,72785,74791,76785,78789,80785,82788,84785,86786,88784,90790,92790,94785,96783,98784,100789,102785,104789,106787,108789,110784,112786,114784,116786,118783,120788,122790,124784,126789,128787,130792,132783,134790,136782,138783,140791,142782,144789,146782,148788,150783,152786,154781,156785,158780,160783,162791,164782,166789,168782,170788,172781,174788,176785,178787,180781,182783,184781,186782,188789,190782,192788,194782,196786,198793,200791,202791,204787,206792,208789,210789,212782,214788,216782,218786,220781,222785,224782,226783,228791,230782,232790,234782,236788,238782,240787,242781,244786,246782,248784,250781,252784,254790,256782,258788,260782,262787,264781,266988,268784,270785,272788,274786,276792,278786,280789,283019,284787,286785,288792,290786,292789,294791,296786,298790,300786,302788,304786,306790,308787,310789,312786,314789,316791,318786,320791,322786,324789,326786,328789,330786,332789,334786,336790,338792,340783,342790,344781,346789,348781,350787,352785,354786,356782,358784,360782,362783,364790,366785,368789,370785
LOD2_R1,22,Temp,32.51,36.31,39.81,43.1,46.18,49.1,51.88,54.43,56.81,59.22,61.59,63.84,66.03,68.12,70.18,72.12,74.04,75.89,77.7,79.44,81.14,82.79,84.39,85.96,87.49,88.99,90.45,91.88,93.29,94.66,95.93,97.14,98.44,99.72,100.98,102.89,101.69,102.82,103.95,105.03,106.05,107.07,108.07,109.01,109.54,109.93,110.13,110.27,110.38,110.36,110.31,110.22,110.2,109.86,109.7,109.59,109.4,109.18,108.98,108.77,108.58,108.36,108.15,107.92,107.7,107.52,107.3,107.09,106.89,106.68,106.51,106.32,106.11,105.94,105.77,105.53,105.36,105.24,105.07,104.95,104.8,104.64,104.52,104.4,104.23,104.13,104.01,103.92,103.79,103.71,103.59,103.5,103.39,103.29,103.2,103.13,103.06,102.98,102.81,102.79,102.72,102.68,102.64,102.55,102.5,102.43,102.37,102.44,102.11,102.13,102.15,102.08,102.06,102.03,101.97,101.95,101.92,101.92,101.82,101.84,101.78,101.7,101.72,101.7,101.68,101.63,101.63,101.59,101.57,101.54,101.54,101.51,101.47,101.49,101.45,101.45,101.43,101.42,101.41,101.38,101.37,101.38,101.29,101.27,101.3,101.29,101.27,101.29,101.26,101.27,101.26,101.25,101.23,101.25,101.21,101.22,101.21,101.21,101.21,101.19,101.19,101.17,101.15,101.15,101.22,101.11,101.1,101.13,101.14,101.13,101.13,101.11,101.11,101.11,101.1,101.11,101.11,101.1,101.13,101.1,101.11,101.1,101.1,101.09,101.07
"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,RunId,Well,Type,TargetName,Result,VoltageDifference,Readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOD2_R1,22,0,Time,,,0,9998,19993,29997,39996,49996,59996,69996,79993,89996,99996,109997,119996,129993,139997,149993,159997,169994,179998,189996,199993,209996,219994,229996,239994,249994,259996,269993,279994,289996,299996,309994,319996,329993,339997,349993,359996,369994,379997,389995,399994,409997,419994,429996,439994,449996,459996,469994,479994,489997,499993,509997,519995,529994,539997,549997,559997,569994,579996,589996,599994,609998,619993,629996,639994,649999,659996,669998,679996,689996,699994,709994,719994,729993,739993,749996,760008,769995,779995,789995,799994,809994,819995,829993,839996,849995,859994,869997,880540,889993,900551,909993,919998,929996,939997,949995,959996,969997,979997,989996,999997,1009997,1019997,1029994,1039997,1049996,1059995,1069996,1079995,1089996,1099999,1109996,1119994,1129996,1139996,1149994,1159994,1169993,1179994,1190253,1199993,1209994,1219997,1229994,1239997,1249995,1259994,1269995,1279995,1289995,1299996,1309997,1319995,1330000,1339994,1349993,1359994,1369994,1379994,1389996,1399996,1410000,1419997,1429997,1439995,1449994,1459994,1469996,1479993,1489993,1499994,1509995,1519994,1529998,1539995,1549994,1559993,1569994,1579993,1589993,1599994,1609994,1619993,1629994,1639993,1649994,1659994,1669994,1679994,1689993,1699993,1709993,1719996,1729995,1739994,1749993,1759994,1769993,1779993,1789993,1799994,
LOD2_R1,22,0,CartTemp,,,0,81.19,86.01,90.08,93.59,95.86,96.1,95.76,95.29,94.63,94.21,93.67,93.13,92.6,92.02,91.54,91.02,90.5,89.9,89.5,89.05,88.58,88.12,87.65,87.27,86.84,86.46,85.98,85.68,85.32,84.97,84.63,84.27,83.97,83.66,83.36,82.99,82.77,82.52,82.25,82.01,81.72,81.51,81.29,81.07,80.78,80.64,80.45,80.25,80.07,79.88,79.72,79.55,79.39,79.17,79.07,78.94,78.81,78.67,78.51,78.41,78.29,78.18,78.02,77.95,77.85,77.74,77.64,77.53,77.45,77.37,77.29,77.17,77.13,77.05,76.99,76.91,76.83,76.8,76.73,76.68,76.56,76.55,76.5,76.45,76.4,76.33,76.3,76.25,76.2,76.12,76.13,76.09,76.06,76.02,75.96,75.94,75.92,75.89,75.8,75.81,75.79,75.77,75.74,75.69,75.69,75.67,75.65,75.58,75.59,75.58,75.57,75.55,75.51,75.51,75.49,75.48,75.42,75.45,75.44,75.42,75.42,75.38,75.39,75.37,75.36,75.31,75.33,75.33,75.32,75.31,75.28,75.29,75.28,75.28,75.22,75.26,75.25,75.25,75.23,75.21,75.22,75.22,75.22,75.17,75.2,75.19,75.19,75.18,75.16,75.17,75.16,75.16,75.11,75.15,75.15,75.15,75.15,75.13,75.14,75.14,75.13,75.09,75.13,75.12,75.12,75.12,75.1,75.1,75.11,75.11,75.05,75.09,75.08,75.09,75.08,75.07,75.08,75.09,75.08,75.07,
LOD2_R1,22,0,AdcTemp,,,0,25.13571429,25.38061224,25.38061224,25.38061224,25.38061224,25.6255102,25.6255102,25.87040816,26.11530612,26.11530612,26.36020408,26.60510204,26.60510204,27.09489796,27.33979592,27.33979592,27.58469388,27.82959184,28.0744898,28.31938776,28.56428571,28.80918367,29.05408163,29.29897959,29.54387755,29.78877551,30.03367347,30.27857143,30.52346939,30.76836735,31.01326531,31.25816327,31.25816327,31.50306122,31.74795918,31.99285714,31.99285714,32.2377551,32.48265306,32.48265306,32.72755102,32.97244898,32.97244898,33.21734694,33.4622449,33.4622449,33.70714286,33.70714286,33.95204082,33.95204082,34.19693878,34.19693878,34.44183673,34.44183673,34.44183673,34.68673469,34.68673469,34.93163265,34.93163265,35.17653061,35.17653061,35.17653061,35.17653061,35.42142857,35.42142857,35.66632653,35.66632653,35.66632653,35.66632653,35.66632653,35.91122449,35.91122449,35.91122449,36.15612245,36.15612245,36.15612245,36.40102041,36.40102041,36.40102041,36.40102041,36.40102041,36.64591837,36.64591837,36.64591837,36.64591837,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.38061224,37.38061224,37.38061224,37.38061224,37.38061224,37.38061224,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.87040816,37.87040816,37.87040816,37.87040816,37.87040816,37.87040816,37.87040816,37.87040816,37.87040816,38.11530612,38.11530612,38.11530612,38.11530612,38.11530612,38.11530612,38.11530612,38.11530612,38.11530612,38.36020408,38.36020408,38.36020408,38.36020408,38.36020408,38.36020408,38.36020408,38.36020408,38.36020408,38.36020408,38.36020408,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.60510204,38.85,38.60510204,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85,39.09489796,38.85,39.09489796,39.09489796,39.09489796,39.09489796,
LOD2_R1,22,1,Target,Positive Control,Amplified,87.6,288.4140015,262.4359131,237.0300293,214.805603,195.5795288,179.0771484,165.7333374,155.1589966,146.4385986,139.9841309,134.6511841,129.6844482,126.159668,122.3373413,119.4992065,116.4779663,112.9989624,109.5657349,106.4987183,103.843689,101.7608643,99.65515137,97.54943848,95.80993652,94.34509277,92.92602539,91.75872803,90.66009521,90.15655518,89.46990967,88.82904053,88.3026123,87.98217773,87.59307861,87.13531494,86.92932129,86.72332764,86.67755127,86.3571167,86.42578125,86.44866943,86.3571167,86.24267578,86.28845215,86.31134033,86.40289307,86.42578125,86.51733398,86.44866943,86.33422852,86.54022217,86.83776855,87.24975586,87.36419678,87.70751953,87.54730225,87.91351318,87.93640137,88.0279541,88.32550049,88.87481689,89.2868042,89.49279785,89.63012695,89.79034424,89.76745605,90.11077881,90.9576416,91.27807617,92.3538208,92.44537354,92.55981445,92.78869629,93.01757813,93.22357178,93.4753418,93.65844727,93.58978271,93.97888184,94.48242188,94.89440918,95.30639648,95.23773193,95.64971924,95.94726563,96.06170654,96.13037109,96.58813477,96.65679932,97.57232666,97.50366211,97.75543213,98.69384766,98.92272949,99.17449951,99.58648682,99.63226318,99.58648682,99.67803955,100.3189087,100.5477905,100.7995605,100.982666,101.3031006,101.4175415,101.9668579,102.2415161,102.6535034,103.0654907,103.2485962,104.095459,104.598999,104.9423218,105.3085327,105.8578491,106.2927246,107.1166992,107.6431274,108.3755493,109.0621948,109.8632813,110.7788086,111.9918823,112.9302979,113.9831543,115.1504517,116.4550781,118.1030273,119.3847656,120.7809448,123.2070923,128.6315918,130.4626465,132.6599121,134.3078613,136.138916,138.0615234,140.2130127,142.3187256,144.241333,146.2783813,148.5443115,151.222229,153.3508301,155.2734375,157.3104858,159.3933105,163.0783081,164.4744873,166.0766602,167.930603,169.2810059,170.5169678,172.0733643,173.0575562,173.9044189,174.911499,175.4608154,176.4221191,177.772522,178.6422729,179.1915894,180.1071167,180.6335449,185.4858398,186.0809326,186.8591309,187.4084473,187.7746582,188.9648438,189.4454956,189.743042,189.9719238,190.1779175,190.612793,190.4983521,190.5670166,193.3364868,191.5054321,192.2149658,
